sinco11,descripcion_sinco,ciuo08,descripcion_ciuo
7515,"Trabajadores en la elaboración de productos a base de azúcar, chocolate, confitería y tabaco ",7512,"Panaderos, pasteleros y confiteros"
7515,"Trabajadores en la elaboración de productos a base de azúcar, chocolate, confitería y tabaco ",7516,Preparadores y elaboradores de tabaco y sus productos
7516,"Trabajadores en la elaboración de aceites, grasas, sal y especias",7514,"Operarios de la conservación de frutas, legumbres, verduras y afines"
7517,Trabajadores en la elaboración de bebidas alcohólicas y no alcohólicas ,7514,"Operarios de la conservación de frutas, legumbres, verduras y afines"
76,"Artesanos y trabajadores en la elaboración de productos de cerámica, vidrio, azulejo y similares ",,
760,"Supervisores de artesanos y trabajadores en la elaboración de productos de cerámica, vidrio, azulejo y similares",,
7601,"Supervisores de artesanos y trabajadores en la elaboración de productos de cerámica, vidrio, azulejo y similares ",NA,Nota: clasifica a los supervisores junto a los trabajadores que supervisa
761,"Artesanos y trabajadores en la elaboración de productos de cerámica, vidrio, azulejo y similares ",,
7611,Alfareros y trabajadores ceramistas ,7314,"Alfareros y afines (barro, arcilla y abrasivos)"
7612,"Trabajadores en la elaboración de productos de cemento, cal, yeso, azulejo, piedra y ladrilleros ",7314,"Alfareros y afines (barro, arcilla y abrasivos)"
7613,Trabajadores del vidrio y similares ,7315,"Sopladores, modeladores, laminadores, cortadores y pulidores de vidrio"
7614,"Trabajadores en la elaboración de productos de hueso, concha, coral y similares",7319,Artesanos no clasificados bajo otros epígrafes
79,"Otros trabajadores artesanales, no clasificados anteriormente",,
799,"Otros trabajadores artesanales, no clasificados anteriormente",,
7999,"Otros trabajadores artesanales, no clasificados anteriormente",7549,"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios no clasificados bajo otros epígrafes"
8,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte ",,
81,Operadores de  instalaciones y maquinaria industrial,,
810,Supervisores de operadores de maquinaria industrial,,
8101,Supervisores de operadores de maquinaria industrial,3122,Supervisores de industrias manufactureras
811,"Operadores de máquinas y equipos para la extracción en minas, canteras y pozos",,
8111,Operadores de máquinas y equipos para la extracción y beneficio en minas y canteras,8112,Operadores de instalaciones de procesamiento de minerales y rocas
8112,Operadores de máquinas y equipos para la extracción en pozos petroleros,8113,Perforadores y sondistas de pozos y afines
8113,"Operadores de máquinas y equipos para la captación, bombeo y distribución de agua",8113,Perforadores y sondistas de pozos y afines
8114,Operadores de equipos portátiles especializados para la construcción,8342,Operadores de máquinas de movimiento de tierras y afines
812,"Operadores de máquinas y equipos en la fabricación metalúrgica, fabricación de maquinaria y productos metálicos",,
8121,"Operadores de hornos metalúrgicos, coladores y laminadores y operadores de máquinas trefiladoras y estiradoras de metales",3135,Controladores de procesos de producción de metales
8121,"Operadores de hornos metalúrgicos, coladores y laminadores y operadores de máquinas trefiladoras y estiradoras de metales",8121,Operadores de instalaciones de procesamiento de metales
8122,"Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metal",8122,"Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metales "
8123,"Operadores de máquinas que cortan, perforan, doblan, troquelan, sueldan, etc., piezas y productos metálicos",8121,Operadores de instalaciones de procesamiento de metales
813,"Operadores de máquinas y equipos en la elaboración de productos químicos, plásticos, tratamiento de agua y petroquímica",,
8131,Operadores de máquinas para la elaboración de productos químicos,3133,Controladores de instalaciones de procesamiento de productos químicos
8131,Operadores de máquinas para la elaboración de productos químicos,8131,Operadores de plantas y máquinas de productos químicos
8131,Operadores de máquinas para la elaboración de productos químicos,8183,"Operadores de máquinas de embalaje, embotellamiento y etiquetado "
8132,Operadores de máquinas para la elaboración de productos farmacéuticos y cosméticos,3133,Controladores de instalaciones de procesamiento de productos químicos
8132,Operadores de máquinas para la elaboración de productos farmacéuticos y cosméticos,8183,"Operadores de máquinas de embalaje, embotellamiento y etiquetado "
8133,Operadores de máquinas para la elaboración y ensamble de productos de plástico y hule,8141,Operadores de máquinas para fabricar productos de caucho
8133,Operadores de máquinas para la elaboración y ensamble de productos de plástico y hule,8142,Operadores de máquinas para fabricar productos de material plástico
8133,Operadores de máquinas para la elaboración y ensamble de productos de plástico y hule,8183,"Operadores de máquinas de embalaje, embotellamiento y etiquetado "
8134,Operadores de máquinas para el tratamiento de agua,3132,"Operadores de incineradores, instalaciones de tratamiento de agua y afines"
8135,Operadores de máquinas y equipos para la refinación del petróleo y gas,3134,Operadores de instalaciones de refinación de petróleo y gas natural
814,Operadores de máquinas para la madera y papel,,
8141,Operadores de máquinas para el tratamiento de la madera y elaboración de aglomerados y triplay,8172,Operadores de instalaciones de procesamiento de la madera
8142,"Operadores de máquinas para la elaboración de productos de madera, bejuco, mimbre  y similares",7523,Reguladores y operadores de máquinas de labrar madera
8142,"Operadores de máquinas para la elaboración de productos de madera, bejuco, mimbre  y similares",8183,"Operadores de máquinas de embalaje, embotellamiento y etiquetado "
8143,"Operadores de máquinas en la elaboración de celulosa, papel y similares",8171,Operadores de instalaciones para la preparación de pasta para papel y papel
8143,"Operadores de máquinas en la elaboración de celulosa, papel y similares",8183,"Operadores de máquinas de embalaje, embotellamiento y etiquetado "
8144,Operadores de máquinas para la impresión y encuadernación,8143,Operadores de máquinas para fabricar productos de papel
8145,Operadores de máquinas para la elaboración de productos a base de papel y cartón,8143,Operadores de máquinas para fabricar productos de papel
815,"Operadores de máquinas y equipos en la elaboración de productos textiles, cuero y piel",,
8151,Operadores de máquinas y equipos de hilar y bobinar fibras textiles naturales y sintéticas,8151,"Operadores de máquinas de preparación de fibras, hilado y devanado"
8151,Operadores de máquinas y equipos de hilar y bobinar fibras textiles naturales y sintéticas,8183,"Operadores de máquinas de embalaje, embotellamiento y etiquetado "
8152,"Operadores de máquinas para fabricar tejidos de punto, telas y alfombras ",8152,Operadores de telares y otras máquinas tejedoras
8152,"Operadores de máquinas para fabricar tejidos de punto, telas y alfombras ",8183,"Operadores de máquinas de embalaje, embotellamiento y etiquetado "
8153,"Operadores de máquinas de costura, bordado y de corte para la confección de productos textiles y prendas de vestir",8153,Operadores de máquinas de coser
8153,"Operadores de máquinas de costura, bordado y de corte para la confección de productos textiles y prendas de vestir",8183,"Operadores de máquinas de embalaje, embotellamiento y etiquetado "
8154,"Operadores de máquinas en el tratamiento del cuero, piel y la elaboración de calzado",8155,Operadores de máquinas de tratamiento de pieles y cueros
8154,"Operadores de máquinas en el tratamiento del cuero, piel y la elaboración de calzado",8156,Operadores de máquinas para la fabricación de calzado y afines
8154,"Operadores de máquinas en el tratamiento del cuero, piel y la elaboración de calzado",8183,"Operadores de máquinas de embalaje, embotellamiento y etiquetado "
8155,"Operadores de máquinas de lavado, blanqueo, teñido, estampado, afelpado, planchado y acabado de productos textiles, cuero, piel y similares",8154,"Operadores de máquinas de blanqueamiento, teñido y limpieza de tejidos"
8155,"Operadores de máquinas de lavado, blanqueo, teñido, estampado, afelpado, planchado y acabado de productos textiles, cuero, piel y similares",8157,Operadores de máquinas lavarropas
816,"Operadores de máquinas en la elaboración de alimentos, bebidas y tabaco",,
8161,"Operadores de máquinas en la elaboración de alimentos, aceites, grasas, sal y especias",8160,Operadores de máquinas para elaborar alimentos y productos afines
8161,"Operadores de máquinas en la elaboración de alimentos, aceites, grasas, sal y especias",8183,"Operadores de máquinas de embalaje, embotellamiento y etiquetado "
8162,Operadores de máquinas en la elaboración de tabaco,8160,Operadores de máquinas para elaborar alimentos y productos afines
8162,Operadores de máquinas en la elaboración de tabaco,8183,"Operadores de máquinas de embalaje, embotellamiento y etiquetado "
8163,Operadores de máquinas en la elaboración de bebidas alcohólicas y no alcohólicas,8160,Operadores de máquinas para elaborar alimentos y productos afines
8163,Operadores de máquinas en la elaboración de bebidas alcohólicas y no alcohólicas,8183,"Operadores de máquinas de embalaje, embotellamiento y etiquetado "
817,"Operadores de máquinas en la elaboración de cemento y productos de cerámica, vidrio y similares",,
8171,"Operadores de máquinas en la elaboración de cemento, cal, yeso y productos de cemento",8114,Operadores de máquinas para fabricar cemento y otros productos minerales
8171,"Operadores de máquinas en la elaboración de cemento, cal, yeso y productos de cemento",8183,"Operadores de máquinas de embalaje, embotellamiento y etiquetado "
8172,"Operadores de máquinas en la elaboración de productos de cerámica, mosaico, azulejo y similares",8181,Operadores de instalaciones de vidriería y cerámica
8172,"Operadores de máquinas en la elaboración de productos de cerámica, mosaico, azulejo y similares",8183,"Operadores de máquinas de embalaje, embotellamiento y etiquetado "
8173,Operadores de máquinas en la elaboración de vidrio y productos de vidrio y similares,8181,Operadores de instalaciones de vidriería y cerámica
8173,Operadores de máquinas en la elaboración de vidrio y productos de vidrio y similares,8183,"Operadores de máquinas de embalaje, embotellamiento y etiquetado "
818,Operadores de máquinas para la generación de energía,,
8181,Operadores de máquinas e instalaciones para la generación de energía,3131,Operadores de instalaciones de producción de energía
8181,Operadores de máquinas e instalaciones para la generación de energía,8182,Operadores de máquinas de vapor y calderas
819,"Otros operadores de instalaciones y maquinaria fija industrial, no clasificados anteriormente",,
8199,"Otros operadores de instalaciones y maquinaria fija industrial, no clasificados anteriormente",3139,Técnicos en control de procesos no clasificados bajo otros epígrafes
82,"Ensambladores y montadores de herramientas,  maquinaria,  productos metálicos y electrónicos",,
820,"Supervisores en procesos de ensamblado y montaje de  maquinaria, herramientas y productos metálicos y electrónicos",,
8201,"Supervisores en procesos de ensamblado y montaje de  maquinaria, herramientas y productos metálicos y electrónicos",3122,Supervisores de industrias manufactureras
8201,"Supervisores en procesos de ensamblado y montaje de  maquinaria, herramientas y productos metálicos y electrónicos",7543,Clasificadores y probadores de productos (excluyendo alimentos y bebidas)
821,"Ensambladores y montadores de herramientas, maquinaria, productos metálicos y electrónicos",,
8211,"Ensambladores y montadores de herramientas, maquinaria, equipos y productos metálicos",8211,Ensambladores de maquinaria mecánica
8212,Ensambladores y montadores de partes eléctricas y electrónicas,8212,Ensambladores de equipos eléctricos y electrónicos
83,Conductores de transporte y de maquinaria móvil,,
830,Supervisores de conductores de transporte y de maquinaria móvil,,
8301,Supervisores de conductores de transporte y de maquinaria móvil,NA,Nota: clasifica a los supervisores junto a los trabajadores que supervisa
831,Conductores de transporte aéreo ,,
8311,Pilotos de aviación,3153,Pilotos de aviación y afines
832,Conductores de transporte marítimo,,
8321,Capitanes y conductores de transporte marítimo,3152,"Capitanes, oficiales de cubierta y prácticos"
8322,Oficiales y marineros de cubierta y prácticos,3152,"Capitanes, oficiales de cubierta y prácticos"
8322,Oficiales y marineros de cubierta y prácticos,8350,Marineros de cubierta y afines
8323,Oficiales maquinistas de transporte marítimo,3151,Oficiales maquinistas en navegación
8324,"Conductores de pequeñas embarcaciones (lanchas, botes, trajineras, etcétera)",8350,Marineros de cubierta y afines
833,Conductores de transporte en vías férreas,,
8331,"Conductores de transporte en vías férreas (tren, metro y tren ligero)",8311,Maquinistas de locomotoras
834,Conductores de transporte terrestre con motor,,
8341,"Conductores de camiones, camionetas y automóviles de carga ",8332,Conductores de camiones pesados
8342,"Conductores de autobuses, camiones, camionetas, taxis y automóviles de pasajeros ",8331,Conductores de autobuses y tranvías
8342,"Conductores de autobuses, camiones, camionetas, taxis y automóviles de pasajeros ",8322,"Conductores de automóviles, taxis y camionetas"
8343,Choferes en casas particulares,8322,"Conductores de automóviles, taxis y camionetas"
8344,Conductores de motocicleta,8321,Conductores de motocicletas
8349,"Otros conductores de transporte terrestre con motor, no clasificados anteriormente",NA,No tiene correspondencia
835,Conductores de maquinaria móvil ,,
8351,Conductores de maquinaria móvil para la construcción y minería,8342,Operadores de máquinas de movimiento de tierras y afines
8352,"Conductores de maquinaria móvil para el movimiento de mercancías en fábricas, puertos, comercios, etcétera",8343,"Operadores de grúas, aparatos elevadores y afines"
8352,"Conductores de maquinaria móvil para el movimiento de mercancías en fábricas, puertos, comercios, etcétera",8344,Operadores de autoelevadoras
89,"Otros operadores de maquinaria industrial, ensambladores y conductores de transporte, no clasificados anteriormente",,
899,"Otros operadores de maquinaria industrial, ensambladores y conductores de transporte, no clasificados anteriormente",,
8999,"Otros operadores de maquinaria industrial, ensambladores y conductores de transporte, no clasificados anteriormente",8189,Operadores de máquinas y de instalaciones fijas no clasificados bajo otros epígrafes
8999,"Otros operadores de maquinaria industrial, ensambladores y conductores de transporte, no clasificados anteriormente",8219,Ensambladores no clasificados bajo otros epígrafes
9,Trabajadores en actividades elementales y de apoyo,,
91,"Trabajadores de apoyo en actividades agropecuarias, forestales, pesca y caza",,
911,Trabajadores de apoyo en actividades agropecuarias,,
9111,Trabajadores de apoyo en actividades agrícolas,9211,Peones de explotaciones agrícolas
9112,Trabajadores de apoyo en actividades ganaderas,9212,Peones de explotaciones ganaderas
9113,Trabajadores de apoyo que realizan actividades agrícolas y ganaderas,9213,Peones de explotaciones de cultivos mixtos y ganaderos
912,"Trabajadores de apoyo en actividades forestales, pesca y caza",,
9121,Trabajadores de apoyo en actividades silvícolas y forestales,9215,Peones forestales
9122,Trabajadores de apoyo en actividades de acuicultura y pesca,9216,Peones de pesca y acuicultura
9123,Trabajadores de apoyo en actividades de caza y captura,9216,Peones de pesca y acuicultura
9124,Recolectores de leña y acarreadores de agua,9624,Acarreadores de agua y recolectores  de  leña
92,"Trabajadores de apoyo en la minería, construcción e industria",,
921,Trabajadores de apoyo en la minería y extracción,,
9211,Trabajadores de apoyo en la minería ,9311,Peones de minas y canteras
9212,Trabajadores de apoyo en la extracción,9311,Peones de minas y canteras
922,Trabajadores de apoyo en la construcción  y la plomería,,
9221,Trabajadores de apoyo en la construcción,9313,Peones de la construcción de edificios
9222,Trabajadores de apoyo en plomería e instalación de tuberías,9312,Peones de obras públicas y mantenimiento
9222,Trabajadores de apoyo en plomería e instalación de tuberías,9313,Peones de la construcción de edificios
923,Trabajadores de apoyo en la industria,,
9231,"Trabajadores de apoyo en la elaboración, reparación y mantenimiento mecánico de equipos, maquinaria y productos de metal y de precisión ",9321,Empacadores manuales
9231,"Trabajadores de apoyo en la elaboración, reparación y mantenimiento mecánico de equipos, maquinaria y productos de metal y de precisión ",9329,Peones de la industria manufacturera no clasificados bajo otros epígrafes
9232,"Trabajadores de apoyo en la industria eléctrica, electrónica y comunicaciones",9321,Empacadores manuales
9232,"Trabajadores de apoyo en la industria eléctrica, electrónica y comunicaciones",9329,Peones de la industria manufacturera no clasificados bajo otros epígrafes
9233,"Trabajadores de apoyo en la industria química, petroquímica y plásticos",9321,Empacadores manuales
9233,"Trabajadores de apoyo en la industria química, petroquímica y plásticos",9329,Peones de la industria manufacturera no clasificados bajo otros epígrafes
9234,"Trabajadores de apoyo en la industria de la madera, papel y cartón",9321,Empacadores manuales
9234,"Trabajadores de apoyo en la industria de la madera, papel y cartón",9329,Peones de la industria manufacturera no clasificados bajo otros epígrafes
9235,Trabajadores de apoyo en la industria textil y del zapato,9321,Empacadores manuales
9235,Trabajadores de apoyo en la industria textil y del zapato,9329,Peones de la industria manufacturera no clasificados bajo otros epígrafes
9236,"Trabajadores de apoyo en la industria de alimentos, bebidas y productos de tabaco",9321,Empacadores manuales
9236,"Trabajadores de apoyo en la industria de alimentos, bebidas y productos de tabaco",9329,Peones de la industria manufacturera no clasificados bajo otros epígrafes
9237,"Trabajadores de apoyo en la industria de la cerámica, vidrio y similares",9321,Empacadores manuales
9239,"Trabajadores de apoyo en la industria, no clasificados anteriormente",9329,Peones de la industria manufacturera no clasificados bajo otros epígrafes
93,"Ayudantes de conductores de transporte, conductores de transporte de tracción humana y animal y cargadores",,
931,Ayudantes de conductores de transporte,,
9311,Ayudantes de conductores de transporte terrestre con motor,8332,Conductores de camiones pesados
9311,Ayudantes de conductores de transporte terrestre con motor,8331,Conductores de autobuses y tranvías
9311,Ayudantes de conductores de transporte terrestre con motor,8322,"Conductores de automóviles, taxis y camionetas"
9312,Ayudantes de conductores de transporte en vías férreas,8312,"Guardafrenos, guardagujas y agentes de maniobras"
932,Conductores de transporte en bicicleta y animal,,
9321,Conductores de vehículos de transporte en bicicleta,9331,Conductores de vehículos accionados a pedal o a brazo
9322,"Conductores de transporte de tracción animal (carretas, arrieros, etcétera)",9332,Conductores de vehículos y máquinas de tracción animal
933,Cargadores,,
9331,Cargadores,9333,Peones de carga
9332,Cargadores por propina,9334,Reponedores de estanterías
9332,Cargadores por propina,9333,Peones de carga
94,Ayudantes en la preparación de alimentos ,,
941,Ayudantes en la preparación de alimentos,,
9411,Ayudantes en la preparación de alimentos,9412,Ayudantes de cocina
95,Vendedores ambulantes ,,
951,Vendedores ambulantes (excluyendo los de venta de alimentos),,
9511,Vendedores ambulantes de periódicos y lotería,9520,Vendedores ambulantes (excluyendo de comida)
9512,Vendedores ambulantes de artículos diversos (excluyendo los de venta de alimentos),5243,Vendedores puerta a puerta
9512,Vendedores ambulantes de artículos diversos (excluyendo los de venta de alimentos),9520,Vendedores ambulantes (excluyendo de comida)
952,Vendedores ambulantes de alimentos,,
9521,Preparadores y vendedores ambulantes de alimentos,5212,Vendedores ambulantes de productos comestibles
96,"Trabajadores domésticos, de limpieza, planchadores y otros trabajadores de limpieza",,
960,"Supervisores en limpieza, amas de llaves, mayordomos y en estacionamientos",,
9601,"Supervisores en limpieza, amas de llaves, mayordomos y en estacionamientos",5151,"Supervisores de mantenimiento y limpieza en oficinas, hoteles y otros establecimientos"
9601,"Supervisores en limpieza, amas de llaves, mayordomos y en estacionamientos",5152,Ecónomos y mayordomos domésticos 
961,Trabajadores domésticos,,
9611,Trabajadores domésticos ,9111,Limpiadores y asistentes domésticos
962,"Trabajadores de limpieza, recamaristas, mozos de limpieza y limpiadores de calzado",,
9621,Barrenderos y trabajadores de limpieza  (excepto en hoteles y restaurantes),9613,Barrenderos y afines
9621,Barrenderos y trabajadores de limpieza  (excepto en hoteles y restaurantes),9123,Lavadores de ventanas
9621,Barrenderos y trabajadores de limpieza  (excepto en hoteles y restaurantes),7133,Limpiadores de fachadas y deshollinadores
9621,Barrenderos y trabajadores de limpieza  (excepto en hoteles y restaurantes),9129,Otro personal de limpieza
9622,Recamaristas y camaristas,9112,"Limpiadores y asistentes de oficinas, hoteles y otros establecimientos"
9623,Mozos de hotel y restaurante,9112,"Limpiadores y asistentes de oficinas, hoteles y otros establecimientos"
9624,Limpiadores de calzado,9510,Trabajadores ambulantes de servicios y afines
963,Lavadores y cuidadores de vehículos,,
9631,Lavadores de vehículos en establecimientos,9122,Lavadores de vehículos
9632,Lavadores de vehículos en vía pública,9510,Trabajadores ambulantes de servicios y afines
9633,Cuidadores y acomodadores de autos en estacionamientos,5414,Guardias de protección
9633,Cuidadores y acomodadores de autos en estacionamientos,5169,Trabajadores de servicios personales no clasificados bajo otros epígrafes
9634,Cuidadores de autos por propina,NA,No tiene correspondencia
964,Lavanderos y planchadores,,
9641,Lavanderos en establecimientos,8157,Operadores de máquinas lavarropas
9642,Planchadores y tintoreros en establecimientos,9121,Lavanderos y planchadores manuales
9643,Lavanderos y planchadores domésticos,9121,Lavanderos y planchadores manuales
965,Ayudantes de jardineros,,
9651,Ayudantes de jardineros,9214,Peones de jardinería y horticultura
966,"Recolectores de desechos, material reciclable y otros materiales",,
9661,Recolectores de basura y material reciclable,9611,Recolectores de basura y material reciclable
9662,Clasificadores de desechos,9612,Clasificadores de desechos
9663,Recolectores de otros materiales,9622,Personas que realizan trabajos varios
97,"Trabajadores de paquetería, de apoyo para espectáculos y repartidores de mercancías",,
971,"Trabajadores de paquetería, empacado y de apoyo para espectáculos",,
9711,"Trabajadores de paquetería, maleteros y botones de hotel ",9621,"Mensajeros, mandaderos, maleteros y repartidores"
9712,Empacadores de objetos y mercancías,9621,"Mensajeros, mandaderos, maleteros y repartidores"
9713,"Trabajadores de apoyo a la realización de espectáculos, deportes y en parques de diversiones",9621,"Mensajeros, mandaderos, maleteros y repartidores"
972,Trabajadores repartidores de mensajería y mercancías (a pie y en bicicleta),,
9721,Carteros (a pie y en bicicleta),4412,Empleados de servicios de correos
9722,Repartidores de mensajería (a pie y en bicicleta) y mandaderos,9621,"Mensajeros, mandaderos, maleteros y repartidores"
9723,Repartidores de mercancías (a pie y en bicicleta),9621,"Mensajeros, mandaderos, maleteros y repartidores"
973,"Lecturistas de medidores, recolectores de dinero y elevadoristas",,
9731,Lecturistas de medidores,9623,Recolectores de dinero en aparatos de venta automática y lectores de medidores
9732,Recolectores de dinero ,9623,Recolectores de dinero en aparatos de venta automática y lectores de medidores
9733,Elevadoristas y ascensoristas,NA,No tiene correspondencia 
98,"Otros trabajadores en actividades elementales y de apoyo, no clasificados anteriormente ",,
989,"Otros trabajadores en actividades elementales y de apoyo, no clasificados anteriormente ",,
9899,"Otros trabajadores en actividades elementales y de apoyo, no clasificados anteriormente",9629,Ocupaciones elementales no clasificadas bajo otros epígrafes
99,Ocupaciones no especificadas,,
999,Ocupaciones no especificadas,,
9999,Ocupaciones no especificadas,NA,No tiene correspondencia 
