sinco11,descripcion_sinco,ciuo08,descripcion_ciuo
215,"Autores, periodistas y traductores",,
2151,Escritores y críticos literarios,2641,Autores y otros escritores
2152,Periodistas y redactores,2642,Periodistas
2153,Traductores e intérpretes ,2643,"Traductores, intérpretes y lingüistas"
216,"Pintores, diseñadores y dibujantes artísticos, escultores y escenógrafos",,
2161,Pintores,2651,Artistas de artes plásticas
2162,"Dibujantes y diseñadores artísticos, ilustradores y grabadores",2651,Artistas de artes plásticas
2163,Escultores,2651,Artistas de artes plásticas
2164,Escenógrafos,NA,No tiene correspondencia
217,Artistas interpretativos,,
2171,Compositores y arreglistas,2652,"Músicos, cantantes y compositores"
2172,Músicos,2652,"Músicos, cantantes y compositores"
2173,Cantantes,2652,"Músicos, cantantes y compositores"
2174,Bailarines y coreógrafos,2653,Bailarines y coreógrafos
2175,Actores,2655,Actores
22,"Investigadores  y  especialistas en ciencias exactas, biológicas, ingeniería, informática y en telecomunicaciones",,
221,"Investigadores y especialistas en física, matemáticas, estadística y actuaría",,
2211,Investigadores y especialistas en física,2111,Físicos y astrónomos
2212,"Investigadores y especialistas en matemáticas, estadística y actuaría",2120,"Matemáticos, actuarios y estadísticos"
222,"Investigadores y especialistas en ciencias biológicas, químicas y del medio ambiente",,
2221,Biólogos y especialistas en ciencias del mar y oceanógrafos,2131,"Biólogos, botánicos, zoólogos y afines"
2222,Químicos,2113,Químicos
2223,Ecólogos y especialistas en ciencias atmosféricas,2112,Meteorólogos
2223,Ecólogos y especialistas en ciencias atmosféricas,2133,Profesionales de la protección medio ambiental
223,Especialistas en ciencias agronómicas,,
2231,Agrónomos,2132,Agrónomos y afines
2232,Veterinarios y zootecnistas,2250,Veterinarios
2233,Especialistas en forestación,2132,Agrónomos y afines
2234,Especialistas en pesca y en acuacultura,2131,"Biólogos, botánicos, zoólogos y afines"
2234,Especialistas en pesca y en acuacultura,2133,Profesionales de la protección medioambiental
224,Ingenieros eléctricos y en electrónica,,
2241,Ingenieros eléctricos ,2151,Ingenieros electricistas
2242,Ingenieros electrónicos,2152,Ingenieros electrónicos
225,"Ingenieros químicos, mecánicos, industriales, mineros y metalúrgicos",,
2251,Ingenieros químicos,2145,Ingenieros químicos
2252,Ingenieros mecánicos,2144,Ingenieros mecánicos
2253,Ingenieros industriales,2141,Ingenieros industriales y de producción
2254,"Ingenieros en minas, metalurgia y petróleo",2146,"Ingenieros de minas, metalúrgicos y afines"
226,"Ingenieros civiles, topógrafos y arquitectos",,
2261,Ingenieros civiles y de la construcción,2142,Ingenieros civiles
2262,"Ingenieros en topografía, hidrología, geología y geodesia",2114,Geólogos y geofísicos
2262,"Ingenieros en topografía, hidrología, geología y geodesia",2149,Ingenieros no clasificados bajo otros epígrafes
2262,"Ingenieros en topografía, hidrología, geología y geodesia",2165,Cartógrafos y agrimensores
2263,"Arquitectos, planificadores urbanos y del transporte",2161,Arquitectos
2263,"Arquitectos, planificadores urbanos y del transporte",2162,Arquitectos paisajistas
2263,"Arquitectos, planificadores urbanos y del transporte",2164,Urbanistas e ingenieros de tránsito
227,Investigadores y especialistas en sistemas computacionales,,
2271,Desarrolladores y analistas de software y multimedia,2511,Analistas de sistemas
2271,Desarrolladores y analistas de software y multimedia,2512,Desarrolladores de software
2271,Desarrolladores y analistas de software y multimedia,2513,Desarrolladores Web y multimedia
2271,Desarrolladores y analistas de software y multimedia,2514,Programadores de aplicaciones
2271,Desarrolladores y analistas de software y multimedia,2519,Desarrolladores y analistas de software y multimedia y analistas no clasificados bajo otros epígrafes
2272,Administradores de bases de datos y redes de computadora,2521,Diseñadores y administradores de bases de datos
2272,Administradores de bases de datos y redes de computadora,2522,Administradores de sistemas
2272,Administradores de bases de datos y redes de computadora,2523,Profesionales en redes de computadores
2272,Administradores de bases de datos y redes de computadora,2529,Especialistas en bases de datos y en redes de computadores no clasificados bajo otros epígrafes
228,Ingenieros en comunicaciones y telecomunicaciones,,
2281,Ingenieros en comunicaciones y telecomunicaciones,2153,Ingenieros en telecomunicaciones
23,Profesores y especialistas en docencia,,
231,Supervisores educativos y especialistas en ciencias de la educación,,
2311,Supervisores e inspectores educativos,2351,Especialistas en métodos pedagógicos
2312,"Pedagogos, orientadores educativos y otros especialistas en ciencias educativas",2351,Especialistas en métodos pedagógicos
232,Profesores de nivel medio y superior,,
2321,Profesores universitarios y de enseñanza superior,2310,Profesores de universidades y de la enseñanza superior
2321,Profesores universitarios y de enseñanza superior,2320,Profesores de formación profesional
2322,Profesores de preparatoria y equivalentes,2320,Profesores de formación profesional
233,Profesores de nivel básico,,
2331,Profesores de enseñanza secundaria,2330,Profesores de enseñanza secundaria
2332,Profesores de enseñanza primaria,2341,Maestros de enseñanza primaria
2333,Alfabetizadores,NA,No tiene correspondencia
2334,Profesores de enseñanza bilingüe (indígena),NA,No tiene correspondencia
2335,Profesores de enseñanza preescolar,2342,Maestros preescolares
2339,"Otros profesores de nivel básico, no clasificados anteriormente",2359,Profesionales de la enseñanza no clasificados bajo otros epígrafes
234,Profesores en enseñanza especial,,
2341,Profesores de personas con problemas de audición y lenguaje,2352,Educadores para necesidades especiales
2342,Profesores de personas con problemas de aprendizaje,2352,Educadores para necesidades especiales
2343,Otros profesores de enseñanza especial,2359,Profesionales de la enseñanza no clasificados bajo otros epígrafes
239,"Otros profesores y especialistas en docencia, no clasificados anteriormente",,
2391,"Otros profesores y especialistas en docencia, no clasificados anteriormente",NA,No tiene correspondencia
24,"Médicos, enfermeras y otros especialistas en salud",,
241,Médicos generales y especialistas,,
2411,Médicos generales y familiares,2211,Médicos generales
2412,Médicos especialistas,2212,Médicos especialistas 
2413,Dentistas,2261,Dentistas
242,Otros especialistas en salud,,
2421,Ingenieros biomédicos,NA,No tiene correspondencia
2422,Optometristas,2267,Optometristas
2423,Nutriólogos,2265,Dietistas y nutricionistas
2424,Especialistas en seguridad e higiene y salud pública,2263,Profesionales de la salud y la higiene laboral y ambiental
2425,Especialistas en medicina tradicional y alternativa,2230,Profesionales de medicina tradicional y alternativa
2426,Enfermeras especialistas,2221,Profesionales de enfermería
2427,"Fisioterapeutas, audiólogos y logopedas",2264,Fisioterapeutas 
2428,Farmacólogos,2262,Farmacéuticos
25,"Auxiliares y técnicos en ciencias económico-administrativas, ciencias sociales, humanistas y en artes",,
251,"Auxiliares en administración, contabilidad y finanzas",,
2511,"Auxiliares en administración, mercadotecnia, comercialización y comercio exterior",3323,Agentes de compras
2511,"Auxiliares en administración, mercadotecnia, comercialización y comercio exterior",3343,Secretarios administrativos y ejecutivos
2512,"Auxiliares en contabilidad, economía, finanzas y agentes de bolsa",3312,Oficiales de préstamos y créditos
2512,"Auxiliares en contabilidad, economía, finanzas y agentes de bolsa",3313,Tenedores de libros
2512,"Auxiliares en contabilidad, economía, finanzas y agentes de bolsa",4311,Empleados de contabilidad y cálculo de costos
2512,"Auxiliares en contabilidad, economía, finanzas y agentes de bolsa",4312,"Empleados de servicios estadísticos, financieros y de seguros"
2512,"Auxiliares en contabilidad, economía, finanzas y agentes de bolsa",4313,Empleados encargados de las nóminas
2513,Tramitadores aduanales ,3331,Declarantes o gestores de aduana
2514,"Valuadores, subastadores y rematadores",3315,Tasadores
252,Inspectores públicos,,
2521,Oficiales del ministerio público y detectives,3355,Inspectores de policía y detectives
2522,Agentes aduanales y fronterizos,3351,Agentes de aduana e inspectores de fronteras
2523,Agentes de recaudación tributaria y de licencias,3352,Agentes de administración tributaria
2523,Agentes de recaudación tributaria y de licencias,3354,Agentes de servicios de expedición de licencias y permisos
2524,"Inspectores en seguridad social, de precios y otros inspectores públicos",3353,Agentes de servicios de seguridad social
2524,"Inspectores en seguridad social, de precios y otros inspectores públicos",3359,Agentes de la administración pública para la aplicacion de la ley y afines no clasificados bajo otros epígrafes
253,Auxiliares en ciencias sociales y humanistas,,
2531,Auxiliares en ciencias sociales y humanistas,3412,Trabajadores y asistentes sociales de nivel medio
2531,Auxiliares en ciencias sociales y humanistas,3433,"Técnicos en galerías de arte, museos y bibliotecas"
2531,Auxiliares en ciencias sociales y humanistas,4411,Empleados de bibliotecas
2532,Auxiliares en servicios jurídicos,3411,Profesionales de nivel medio del derecho y servicios legales y afines
2532,Auxiliares en servicios jurídicos,3342,Secretarios jurídicos
2533,Monjas y predicadores,3413,Auxiliares laicos de las religiones
254,"Diseñadores de modas, industriales, gráficos y decoradores de interiores",,
2541,Diseñadores de moda y vestuario,2163,Diseñadores de productos y de prendas
2542,Diseñadores industriales,2163,Diseñadores de productos y de prendas
2543,Diseñadores gráficos,2166,Diseñadores gráficos y multimedia
2544,"Decoradores de interiores, jardines y diversos materiales (tazas, llaveros, etcétera)",3432,Diseñadores y decoradores de interior
255,"Locutores, animadores y payasos",,
2551,"Locutores de radio, televisión y otros medios de comunicación",2656,"Locutores de radio, televisión y otros medios de comunicación"
2552,Animadores y organizadores de eventos,2656,"Locutores de radio, televisión y otros medios de comunicación"
2552,Animadores y organizadores de eventos,3332,Organizadores de conferencias y eventos
2553,"Payasos, mimos y cirqueros",2659,Artistas creativos e interpretativos no clasificados bajo otros epígrafes
256,"Deportistas, entrenadores y árbitros",,
2561,Deportistas,3421,Atletas y deportistas
2562,Entrenadores deportivos y directores técnicos,3422,"Entrenadores, instructores y árbitros de actividades deportivas"
2563,Árbitros y jueces deportivos,3422,"Entrenadores, instructores y árbitros de actividades deportivas"
26,"Auxiliares y técnicos en ciencias exactas, biológicas, ingeniería, informática y en telecomunicaciones",,
261,"Auxiliares y técnicos en ciencias físicas, matemáticas, biológicas, químicas, del medio ambiente y agronómicas",,
2611,"Auxiliares y técnicos en física, matemáticas, estadística y actuaría",3111,Técnicos en ciencias físicas y químicas
2611,"Auxiliares y técnicos en física, matemáticas, estadística y actuaría",3314,"Profesionales de nivel medio de servicios estadísticos, matemáticos y afines"
2611,"Auxiliares y técnicos en física, matemáticas, estadística y actuaría",4312,"Empleados de servicios estadísticos, financieros y de seguros"
2612,"Auxiliares y técnicos en ciencias biológicas, químicas y del medio ambiente",3111,Técnicos en ciencias físicas y químicas
2612,"Auxiliares y técnicos en ciencias biológicas, químicas y del medio ambiente",3141,Técnicos en ciencias biológicas (excluyendo la medicina)
2613,Auxiliares y técnicos en agronomía,3143,Técnicos forestales
2613,Auxiliares y técnicos en agronomía,3142,Técnicos agropecuarios
2614,"Auxiliares y técnicos en veterinaria, pesca y forestación",3240,Técnicos y asistentes veterinarios
262,"Auxiliares y técnicos industriales, topógrafos, mineros y dibujantes técnicos",,
2621,Auxiliares y técnicos industriales y químicos,3116,Técnicos en química industrial
2622,"Auxiliares y técnicos topógrafos, en hidrología y geología",3119,Técnicos en ciencias físicas y en ingeniería no clasificados bajo otros epígrafes
2623,"Auxiliares y técnicos mineros, metalúrgicos y petroleros",3117,Técnicos en ingeniería de minas y metalurgia
2624,Auxiliares y técnicos en construcción y arquitectura,3112,Técnicos en ingeniería civil
